episode,mean_reward,baseline_reward,lie_rate,truth_rate,twist_rate,trust_dispersion
1,8.1,8.1,0.4,0.6,0.0,0.1
2,6.8667,7.4833,0.4,0.4,0.2,0.0
3,5.5333,6.8333,0.4,0.6,0.0,0.0
4,6.7667,6.8167,0.4,0.2,0.4,0.15
5,5.5333,6.56,0.4,0.4,0.2,0.1
6,5.5333,6.3889,0.2,0.6,0.2,0.15
7,8.2,6.6476,0.0,1.0,0.0,0.05
8,6.8667,6.675,0.0,0.8,0.2,0.2
9,6.7667,6.6852,0.4,0.2,0.4,0.25
10,6.8667,6.7033,0.2,0.2,0.6,0.2
11,5.5333,6.597,0.0,0.6,0.4,0.0
12,5.4333,6.5,0.4,0.6,0.0,0.3
13,5.5333,6.4256,0.0,0.2,0.8,0.15
14,5.4333,6.3548,0.6,0.2,0.2,0.4
15,6.8667,6.3889,0.0,0.8,0.2,0.15
16,5.5333,6.3354,0.4,0.6,0.0,0.05
17,6.8667,6.3667,0.4,0.2,0.4,0.15
18,6.8667,6.3944,0.2,0.4,0.4,0.3
19,5.5333,6.3491,0.2,0.2,0.6,0.25
20,6.7667,6.37,0.4,0.2,0.4,0.0
21,5.5333,6.3302,0.2,0.4,0.4,0.1
22,5.5333,6.2939,0.2,0.2,0.6,0.05
23,4.2,6.2029,0.6,0.4,0.0,0.0
24,6.8667,6.2306,0.6,0.0,0.4,0.05
25,6.7667,6.252,0.4,0.4,0.2,0.2
26,5.4333,6.2205,0.6,0.2,0.2,0.15
27,8.2,6.2938,0.8,0.2,0.0,0.05
28,6.8667,6.3143,0.2,0.4,0.4,0.05
29,5.4333,6.2839,0.2,0.6,0.2,0.05
30,6.8667,6.3033,0.4,0.0,0.6,0.05
