episode,mean_reward,baseline_reward,lie_rate,truth_rate,twist_rate,vote_lowest_trust,vote_highest_threat,vote_random,trust_dispersion
1,0.4286,0.4286,0.2222,0.5556,0.2222,0.2222,0.3333,0.4444,0.0889
2,0.4405,0.4345,0.4444,0.4444,0.1111,0.7778,0.1111,0.1111,0.0889
3,0.4167,0.4286,0.3333,0.5556,0.1111,0.3333,0.4444,0.2222,0.0444
4,0.4762,0.4405,0.0,0.7778,0.2222,0.4444,0.1111,0.4444,0.1556
5,0.4464,0.4417,0.1111,0.7778,0.1111,0.4444,0.2222,0.3333,0.1556
6,0.4405,0.4415,0.4444,0.4444,0.1111,0.2222,0.3333,0.4444,0.1111
7,0.4166,0.4379,0.2222,0.4444,0.3333,0.2222,0.1111,0.6667,0.1111
8,0.4167,0.4353,0.1111,0.8889,0.0,0.2222,0.3333,0.4444,0.2
9,0.4107,0.4325,0.0,0.8889,0.1111,0.2222,0.4444,0.3333,0.2444
10,0.4226,0.4315,0.1111,0.5556,0.3333,0.3333,0.1111,0.5556,0.2667
11,0.4107,0.4296,0.2222,0.6667,0.1111,0.4444,0.4444,0.1111,0.2667
12,0.3869,0.4261,0.2222,0.4444,0.3333,0.3333,0.4444,0.2222,0.2222
13,0.4226,0.4258,0.2222,0.6667,0.1111,0.5556,0.2222,0.2222,0.1333
14,0.4345,0.4264,0.1111,0.5556,0.3333,0.2222,0.3333,0.4444,0.2222
15,0.4464,0.4278,0.1111,0.6667,0.2222,0.2222,0.1111,0.6667,0.1556
16,0.375,0.4245,0.3333,0.5556,0.1111,0.4444,0.2222,0.3333,0.1778
17,0.4166,0.424,0.1111,0.6667,0.2222,0.1111,0.3333,0.5556,0.1333
18,0.4345,0.4246,0.3333,0.5556,0.1111,0.2222,0.4444,0.3333,0.0889
19,0.4524,0.4261,0.3333,0.6667,0.0,0.4444,0.2222,0.3333,0.0444
20,0.3869,0.4241,0.2222,0.7778,0.0,0.3333,0.2222,0.4444,0.2444
21,0.3631,0.4212,0.3333,0.4444,0.2222,0.4444,0.1111,0.4444,0.0444
22,0.4286,0.4215,0.1111,0.5556,0.3333,0.2222,0.4444,0.3333,0.1333
23,0.3631,0.419,0.2222,0.6667,0.1111,0.6667,0.2222,0.1111,0.2
24,0.4226,0.4191,0.4444,0.4444,0.1111,0.1111,0.4444,0.4444,0.1333
25,0.3928,0.4181,0.2222,0.6667,0.1111,0.1111,0.4444,0.4444,0.2
26,0.4464,0.4192,0.2222,0.6667,0.1111,0.3333,0.3333,0.3333,0.0444
27,0.4345,0.4197,0.2222,0.7778,0.0,0.4444,0.2222,0.3333,0.0444
28,0.4583,0.4211,0.0,0.8889,0.1111,0.4444,0.1111,0.4444,0.1333
29,0.4107,0.4208,0.2222,0.6667,0.1111,0.5556,0.2222,0.2222,0.0889
30,0.4166,0.4206,0.1111,0.6667,0.2222,0.4444,0.3333,0.2222,0.0444
31,0.4583,0.4218,0.3333,0.6667,0.0,0.2222,0.2222,0.5556,0.0
32,0.4643,0.4232,0.4444,0.3333,0.2222,0.3333,0.5556,0.1111,0.0444
33,0.4167,0.423,0.0,0.6667,0.3333,0.3333,0.3333,0.3333,0.0444
34,0.4405,0.4235,0.2222,0.5556,0.2222,0.3333,0.6667,0.0,0.0444
35,0.4643,0.4246,0.2222,0.5556,0.2222,0.0,0.6667,0.3333,0.0889
36,0.4345,0.4249,0.2222,0.6667,0.1111,0.2222,0.2222,0.5556,0.0444
37,0.3928,0.4241,0.3333,0.4444,0.2222,0.3333,0.0,0.6667,0.0667
38,0.369,0.4226,0.1111,0.5556,0.3333,0.3333,0.2222,0.4444,0.0444
39,0.3928,0.4218,0.1111,0.6667,0.2222,0.3333,0.3333,0.3333,0.1111
40,0.4524,0.4226,0.0,0.7778,0.2222,0.3333,0.5556,0.1111,0.0444
